IdPlayer,Name,TeamName,Position,BirthDate,Weight,Height,InternationalCaps,Goals
275261,Pedro GALLESE,Peru,Goalkeeper,1990-02-23T00:00:00Z,79.0,189.0,42,0
202638,Alberto RODRIGUEZ,Peru,Defender,1984-03-31T00:00:00Z,78.0,179.0,75,0
306194,Aldo CORZO,Peru,Defender,1989-05-20T00:00:00Z,75.0,172.0,24,0
398457,Anderson SANTAMARIA,Peru,Defender,1992-01-10T00:00:00Z,84.0,183.0,8,0
368000,Miguel ARAUJO,Peru,Defender,1994-10-24T00:00:00Z,77.0,178.0,8,0
397791,Miguel TRAUCO,Peru,Defender,1992-08-25T00:00:00Z,74.0,169.0,29,0
349685,Paolo HURTADO,Peru,Midfielder,1990-07-27T00:00:00Z,66.0,174.0,34,3
349700,Christian CUEVA,Peru,Midfielder,1991-11-23T00:00:00Z,69.0,169.0,48,8
225497,Paolo GUERRERO,Peru,Forward,1984-01-01T00:00:00Z,88.0,185.0,92,36
201748,Jefferson FARFAN,Peru,Forward,1984-10-26T00:00:00Z,85.0,177.0,86,25
349703,Raul RUIDIAZ,Peru,Forward,1990-07-25T00:00:00Z,67.0,169.0,32,4
275431,Carlos CACEDA,Peru,Goalkeeper,1991-09-27T00:00:00Z,78.0,184.0,6,0
392903,Renato TAPIA,Peru,Midfielder,1995-07-28T00:00:00Z,85.0,185.0,33,3
394981,Andy POLO,Peru,Midfielder,1994-09-29T00:00:00Z,71.0,174.0,17,1
228728,Christian RAMOS,Peru,Defender,1988-11-04T00:00:00Z,72.0,182.0,73,3
401945,Wilder CARTAGENA,Peru,Midfielder,1994-09-23T00:00:00Z,76.0,179.0,4,0
349697,Luis ADVINCULA,Peru,Defender,1990-03-02T00:00:00Z,80.0,178.0,68,0
349696,Andre CARRILLO,Peru,Forward,1991-06-14T00:00:00Z,77.0,182.0,49,6
349698,Yoshimar YOTUN,Peru,Midfielder,1990-04-07T00:00:00Z,69.0,172.0,76,2
394797,Edison FLORES,Peru,Forward,1994-05-14T00:00:00Z,72.0,170.0,32,9
229480,Jose CARVALLO,Peru,Goalkeeper,1986-03-01T00:00:00Z,84.0,182.0,6,0
398459,Nilson LOYOLA,Peru,Defender,1994-10-26T00:00:00Z,68.0,179.0,3,0
397696,Pedro AQUINO,Peru,Midfielder,1995-04-13T00:00:00Z,71.0,174.0,16,0
356956,Yassine BOUNOU,Morocco,Goalkeeper,1991-04-05T00:00:00Z,77.0,190.0,34,0
400721,Achraf HAKIMI,Morocco,Defender,1998-11-04T00:00:00Z,65.0,179.0,15,1
401882,Hamza MENDYL,Morocco,Defender,1997-10-21T00:00:00Z,70.0,179.0,16,0
299073,Manuel DA COSTA,Morocco,Defender,1986-05-06T00:00:00Z,78.0,187.0,30,2
305954,Mehdi BENATIA,Morocco,Defender,1987-04-17T00:00:00Z,88.0,188.0,62,4
398599,Ghanem SAISS,Morocco,Defender,1990-03-26T00:00:00Z,76.0,190.0,28,2
395759,Hakim ZIYACH,Morocco,Midfielder,1993-03-19T00:00:00Z,70.0,180.0,21,10
232674,Karim EL AHMADI,Morocco,Midfielder,1985-01-27T00:00:00Z,78.0,179.0,55,1
411678,Ayoub EL KAABI,Morocco,Forward,1993-06-25T00:00:00Z,72.0,182.0,5,2
353205,Younes BELHANDA,Morocco,Midfielder,1990-02-25T00:00:00Z,75.0,174.0,53,5
395756,Faycal FAJR,Morocco,Midfielder,1988-08-01T00:00:00Z,72.0,178.0,26,2
395755,Monir EL KAJOUI,Morocco,Goalkeeper,1989-05-10T00:00:00Z,88.0,190.0,36,0
401884,Khalid BOUTAIB,Morocco,Forward,1987-04-24T00:00:00Z,80.0,190.0,22,10
296799,Mbark BOUSSOUFA,Morocco,Midfielder,1984-08-15T00:00:00Z,59.0,167.0,64,7
372130,Youssef AIT BENNASSER,Morocco,Midfielder,1996-07-07T00:00:00Z,75.0,184.0,14,0
291414,Noureddine AMRABAT,Morocco,Midfielder,1987-03-31T00:00:00Z,77.0,178.0,48,4
296750,Nabil DIRAR,Morocco,Defender,1986-02-25T00:00:00Z,82.0,187.0,40,5
372114,Amine HARIT,Morocco,Midfielder,1997-06-18T00:00:00Z,66.0,179.0,8,0
401885,Youssef EN NESYRI,Morocco,Forward,1997-06-01T00:00:00Z,75.0,188.0,17,3
407125,Aziz BOUHADDOUZ,Morocco,Forward,1987-03-30T00:00:00Z,80.0,188.0,17,3
372266,Sofyan AMRABAT,Morocco,Midfielder,1996-08-21T00:00:00Z,77.0,183.0,7,0
371553,Ahmed TAGNAOUTI,Morocco,Goalkeeper,1996-04-05T00:00:00Z,70.0,186.0,5,0
290868,Mehdi CARCELA,Morocco,Midfielder,1989-07-01T00:00:00Z,67.0,176.0,22,1
155050,ESSAM ELHADARY,Egypt,Goalkeeper,1973-01-15T00:00:00Z,90.0,190.0,159,0
401838,ALI GABR,Egypt,Defender,1989-01-01T00:00:00Z,88.0,191.0,25,1
256311,AHMED ELMOHAMADY,Egypt,Defender,1987-09-09T00:00:00Z,76.0,183.0,84,2
344652,OMAR GABER,Egypt,Midfielder,1992-01-30T00:00:00Z,71.0,175.0,24,0
407023,SAM MORSY,Egypt,Midfielder,1991-09-10T00:00:00Z,75.0,173.0,6,0
344640,AHMED HEGAZY,Egypt,Defender,1991-01-25T00:00:00Z,95.0,194.0,48,1
303682,AHMED FATHI,Egypt,Defender,1984-11-10T00:00:00Z,76.0,176.0,131,3
395858,TAREK HAMED,Egypt,Midfielder,1988-10-24T00:00:00Z,67.0,169.0,26,0
339900,MARWAN MOHSEN,Egypt,Forward,1989-02-26T00:00:00Z,81.0,185.0,25,4
344654,MOHAMED SALAH,Egypt,Forward,1992-06-15T00:00:00Z,71.0,175.0,58,37
369215,KAHRABA,Egypt,Forward,1994-04-13T00:00:00Z,76.0,182.0,25,3
306460,AYMAN ASHRAF,Egypt,Defender,1991-04-09T00:00:00Z,73.0,176.0,3,1
356053,MOHAMED ABDELSHAFY,Egypt,Defender,1985-07-01T00:00:00Z,72.0,171.0,55,2
401841,RAMADAN SOBHY,Egypt,Forward,1997-01-23T00:00:00Z,77.0,183.0,28,1
411607,MAHMOUD HAMDY,Egypt,Defender,1995-06-01T00:00:00Z,72.0,173.0,1,0
184382,SHERIF EKRAMY,Egypt,Goalkeeper,1983-07-10T00:00:00Z,93.0,193.0,23,0
332777,MOHAMED ELNENY,Egypt,Midfielder,1992-07-11T00:00:00Z,74.0,181.0,64,5
230098,SHIKABALA,Egypt,Forward,1986-03-05T00:00:00Z,80.0,183.0,32,2
230099,ABDALLA SAID,Egypt,Midfielder,1985-07-13T00:00:00Z,75.0,176.0,41,6
312951,SAMIR SAAD,Egypt,Defender,1989-04-01T00:00:00Z,82.0,183.0,11,0
363863,TREZIGUET,Egypt,Midfielder,1994-10-01T00:00:00Z,77.0,181.0,29,2
363867,AMR WARDA,Egypt,Forward,1993-09-17T00:00:00Z,77.0,179.0,20,0
408948,MOHAMED ELSHENAWY,Egypt,Goalkeeper,1988-12-18T00:00:00Z,86.0,191.0,5,0
380007,Ali BEIRANVAND,IR Iran,Goalkeeper,1992-09-21T00:00:00Z,85.0,194.0,25,0
390535,Mahdi TORABI,IR Iran,Midfielder,1994-09-10T00:00:00Z,71.0,185.0,16,4
288961,Ehsan HAJI SAFI,IR Iran,Defender,1990-02-25T00:00:00Z,75.0,178.0,97,6
406595,Roozbeh CHESHMI,IR Iran,Defender,1993-07-24T00:00:00Z,80.0,192.0,10,1
390537,Milad MOHAMMADI,IR Iran,Defender,1993-09-29T00:00:00Z,69.0,178.0,21,0
371736,Saeid EZATOLAHI,IR Iran,Midfielder,1996-10-01T00:00:00Z,82.0,190.0,27,2
213170,Masoud SHOJAEI,IR Iran,Midfielder,1984-06-09T00:00:00Z,79.0,187.0,75,8
314249,Morteza POURALIGANJI,IR Iran,Defender,1992-04-19T00:00:00Z,83.0,187.0,30,2
346735,Omid EBRAHIMI,IR Iran,Midfielder,1987-09-16T00:00:00Z,75.0,178.0,32,0
330659,Karim ANSARIFARD,IR Iran,Forward,1990-04-03T00:00:00Z,80.0,187.0,67,19
384795,Vahid AMIRI,IR Iran,Midfielder,1988-04-02T00:00:00Z,71.0,179.0,39,1
397792,Rashid MAZAHERI,IR Iran,Goalkeeper,1989-05-18T00:00:00Z,84.0,192.0,3,0
379885,Mohammad Reza KHANZADEH,IR Iran,Defender,1991-05-11T00:00:00Z,80.0,186.0,8,1
411644,Saman GHODDOS,IR Iran,Forward,1993-09-06T00:00:00Z,79.0,177.0,11,1
251481,Pejman MONTAZERI,IR Iran,Defender,1983-09-06T00:00:00Z,77.0,185.0,46,1
362641,Reza GHOOCHANNEJHAD,IR Iran,Forward,1987-09-20T00:00:00Z,79.0,180.0,43,17
388475,Mehdi TAREMI,IR Iran,Forward,1992-07-18T00:00:00Z,80.0,187.0,29,11
379886,Alireza JAHANBAKHSH,IR Iran,Forward,1993-08-11T00:00:00Z,77.0,180.0,41,4
371735,Majid HOSSEINI,IR Iran,Defender,1996-06-20T00:00:00Z,78.0,183.0,4,0
379887,Sardar AZMOUN,IR Iran,Forward,1995-01-01T00:00:00Z,80.0,186.0,35,23
196812,Ashkan DEJAGAH,IR Iran,Forward,1986-07-05T00:00:00Z,78.0,181.0,46,9
411643,Amir ABEDZADEH,IR Iran,Goalkeeper,1993-04-26T00:00:00Z,80.0,186.0,1,0
384797,Ramin REZAEIAN,IR Iran,Defender,1990-03-21T00:00:00Z,75.0,185.0,29,2
195231,Jose CORONA,Mexico,Goalkeeper,1981-01-26T00:00:00Z,80.0,182.0,54,0
309592,Hugo AYALA,Mexico,Defender,1987-03-31T00:00:00Z,82.0,188.0,45,1
395518,Carlos SALCEDO,Mexico,Defender,1993-09-29T00:00:00Z,83.0,189.0,25,0
178119,Rafael MARQUEZ,Mexico,Defender,1979-02-13T00:00:00Z,77.0,184.0,148,15
386332,Erick GUTIERREZ,Mexico,Midfielder,1995-06-15T00:00:00Z,70.0,176.0,8,0
318612,Jonathan DOS SANTOS,Mexico,Midfielder,1990-04-26T00:00:00Z,69.0,173.0,38,0
371044,Miguel LAYUN,Mexico,Midfielder,1988-06-25T00:00:00Z,72.0,180.0,68,6
319311,Marco FABIAN,Mexico,Forward,1989-07-21T00:00:00Z,70.0,171.0,40,9
356731,Raul JIMENEZ,Mexico,Forward,1991-05-05T00:00:00Z,79.0,188.0,65,14
234551,Giovani DOS SANTOS,Mexico,Midfielder,1989-05-11T00:00:00Z,70.0,178.0,106,19
234552,Carlos VELA,Mexico,Forward,1989-03-01T00:00:00Z,78.0,178.0,72,19
175546,Alfredo TALAVERA,Mexico,Goalkeeper,1982-09-18T00:00:00Z,84.0,188.0,28,0
215285,Guillermo OCHOA,Mexico,Goalkeeper,1985-07-13T00:00:00Z,76.0,185.0,98,0
228599,Javier HERNANDEZ,Mexico,Forward,1988-06-01T00:00:00Z,71.0,175.0,106,50
238112,Hector MORENO,Mexico,Defender,1988-01-17T00:00:00Z,82.0,182.0,95,3
329092,Hector HERRERA,Mexico,Defender,1990-04-19T00:00:00Z,79.0,180.0,70,5
314918,Jesus CORONA,Mexico,Midfielder,1993-01-06T00:00:00Z,69.0,174.0,38,7
251352,Andres GUARDADO,Mexico,Midfielder,1986-09-28T00:00:00Z,63.0,167.0,151,25
227851,Oribe PERALTA,Mexico,Forward,1984-01-12T00:00:00Z,72.0,178.0,67,26
350124,Javier AQUINO,Mexico,Midfielder,1990-02-11T00:00:00Z,59.0,166.0,53,0
400634,Edson ALVAREZ,Mexico,Defender,1997-10-24T00:00:00Z,72.0,186.0,17,1
386337,Hirving  LOZANO,Mexico,Forward,1995-07-30T00:00:00Z,66.0,176.0,32,8
402772,Jesus GALLARDO,Mexico,Midfielder,1994-08-15T00:00:00Z,74.0,177.0,27,0
404372,ABDULLAH ALMUAIOUF,Saudi Arabia,Goalkeeper,1987-01-23T00:00:00Z,98.0,178.0,9,0
347316,MANSOUR ALHARBI,Saudi Arabia,Defender,1987-10-19T00:00:00Z,68.0,173.0,39,1
278167,OSAMA HAWSAWI,Saudi Arabia,Defender,1984-03-31T00:00:00Z,83.0,188.0,138,7
407983,ALI ALBULAYHI,Saudi Arabia,Defender,1989-11-21T00:00:00Z,83.0,182.0,5,0
385091,OMAR HAWSAWI,Saudi Arabia,Defender,1985-09-27T00:00:00Z,76.0,185.0,41,3
397857,MOHAMMED ALBURAYK,Saudi Arabia,Defender,1992-09-15T00:00:00Z,61.0,173.0,12,0
352891,SALMAN ALFARAJ,Saudi Arabia,Midfielder,1989-08-01T00:00:00Z,63.0,179.0,42,3
347165,YAHIA ALSHEHRI,Saudi Arabia,Midfielder,1990-06-26T00:00:00Z,63.0,165.0,58,7
339485,HATAN BAHBRI,Saudi Arabia,Midfielder,1992-07-16T00:00:00Z,66.0,170.0,8,0
288078,MOHAMMED ALSAHLAWI,Saudi Arabia,Forward,1987-01-10T00:00:00Z,75.0,179.0,42,28
